chunk_text,trial_id,condition,phase,status,enrollment,sponsor,interventions,start_year,completion_year
"NCT Number: NCT02952989. Study Title: A Safety Study of SGN-2FF for Patients With Advanced Solid Tumors. Sponsor: Seagen Inc.. Condition or Disease: Carcinoma, Non-Small-Cell Lung|Carcinoma, Renal Cell|Breast Neoplasms|Urinary Bladder Neoplasm|Carcinoma, Squamous Cell of Head and Neck|Colorectal Neoplasms|Gastric Adenocarcinoma|Gastroesophageal Junction Adenocarcinoma. Intervention or Drug or Treatment: DRUG: SGN-2FF|DRUG: pembrolizumab. Phase: PHASE1. Study Status: TERMINATED. Enrollment: 47.0. Summary: This study is being done to find out the side effects (unwanted effects) that are caused in patients with cancers who are given SGN-2FF. This study will also attempt to find the most suitable dose in the disease or condition being studied and look at other effects of SGN2FF, including its effect on cancer.
This study has several different parts. Part A will try to find the highest safe dose. Part B will enroll more patients to be treated at the highest safe dose or a lower dose to better understand how well SGN-2FF is tolerated. Part C will try to find the highest safe dose of SGN-2FF when it is given combined with pembrolizumab. Pembrolizumab is a standard treatment for cancer. Part D will enroll more patients to be treated at the highest safe dose of SGN-2FF combined with pembrolizumab or a lower dose of SGN-2FF to better understand how well SGN-2FF is tolerated when it is given with pembrolizumab.. ",NCT02952989,"Carcinoma, Non-Small-Cell Lung|Carcinoma, Renal Cell|Breast Neoplasms|Urinary Bladder Neoplasm|Carcinoma, Squamous Cell of Head and Neck|Colorectal Neoplasms|Gastric Adenocarcinoma|Gastroesophageal Junction Adenocarcinoma",PHASE1,TERMINATED,47.0,Seagen Inc.,DRUG: SGN-2FF|DRUG: pembrolizumab,2017,2019
"NCT Number: NCT00003329. Study Title: Identification of Genes Associated With Cancer in Patients and Siblings Who Have Cancer. Sponsor: Eastern Cooperative Oncology Group. Condition or Disease: Breast Cancer|Colorectal Cancer|Lung Cancer|Prostate Cancer. Intervention or Drug or Treatment: GENETIC: gene mapping. Phase: . Study Status: COMPLETED. Enrollment: 4000.0. Summary: RATIONALE: Identification of genes that may be associated with developing certain types of cancer may someday provide important information about a person's risk of getting cancer.
PURPOSE: This clinical trial is studying to see if certain genes may be associated with cancer in patients with cancer of the breast, prostate, lung, or colon and siblings of these patients.. ",NCT00003329,Breast Cancer|Colorectal Cancer|Lung Cancer|Prostate Cancer,,COMPLETED,4000.0,Eastern Cooperative Oncology Group,GENETIC: gene mapping,1998,
"NCT Number: NCT05076760. Study Title: MEM-288 Oncolytic Virus Alone and in Combination With Standard of Care Therapy in Advanced Solid Tumors. Sponsor: Memgen, Inc.. Condition or Disease: Solid Tumor|Advanced Cancer|Metastatic Cancer|Non Small Cell Lung Cancer|Cutaneous Squamous Cell Carcinoma|Merkel Cell Carcinoma|Melanoma|Pancreatic Cancer|Triple Negative Breast Cancer|Head and Neck Cancer. Intervention or Drug or Treatment: BIOLOGICAL: MEM-288 Intratumoral Injection|BIOLOGICAL: Nivolumab|DRUG: Docetaxel. Phase: PHASE1. Study Status: RECRUITING. Enrollment: 40.0. Summary: This is a multipart, open-label, multi-center dose escalation, dose expansion phase I clinical trial designed to evaluate the safety, tolerability, maximum tolerated dose (MTD), recommended phase 2 dose (RP2D), and preliminary efficacy of MEM-288 in patients with advanced solid tumors. Eligible subjects must have a tumor lesion(s) which is accessible for injection. The dose escalation phase (Part 1A - advanced solid tumors) has completed and is closed to enrollment. This phase evaluated multiple doses of MEM-288 dosed via intratumoral injection once every 3 weeks to assess safety, tolerability, preliminary efficacy, and to determine the MTD. The dose expansion phase has multiple parts for advanced NSCLC. Part 1B has completed after evaluation of MEM-288 dosed via intratumoral injection in combination with standard of care nivolumab dosed via intravenous injection. In a separate dose expansion arm (Part 1C) that is open for enrollment, patients with advanced NSCLC will be randomized to receive either an initial priming dose of MEM-288 injected into an accessible lesion (s) alone (Day 1) followed by MEM-288 in combination with standard of care docetaxel every 3 weeks up to 6 doses or",NCT05076760,Solid Tumor|Advanced Cancer|Metastatic Cancer|Non Small Cell Lung Cancer|Cutaneous Squamous Cell Carcinoma|Merkel Cell Carcinoma|Melanoma|Pancreatic Cancer|Triple Negative Breast Cancer|Head and Neck Cancer,PHASE1,RECRUITING,40.0,"Memgen, Inc.",BIOLOGICAL: MEM-288 Intratumoral Injection|BIOLOGICAL: Nivolumab|DRUG: Docetaxel,2022,2031
dose of MEM-288 injected into an accessible lesion (s) alone (Day 1) followed by MEM-288 in combination with standard of care docetaxel every 3 weeks up to 6 doses or MEM-288 injected into an accessible lesion(s) in combination with standard of care docetaxel therapy Day 1 and every 3 weeks up to 6 doses. The study rationale is that the oncolytic effect of MEM-288 combined with the presence of CD40L and type 1 IFN in injected tumors will provide a strong signal for DC-mediated T cell activation leading to generation of systemic anti-tumor T cell responses with broad specificity akin to what is observed in the abscopal effect..,NCT05076760,Solid Tumor|Advanced Cancer|Metastatic Cancer|Non Small Cell Lung Cancer|Cutaneous Squamous Cell Carcinoma|Merkel Cell Carcinoma|Melanoma|Pancreatic Cancer|Triple Negative Breast Cancer|Head and Neck Cancer,PHASE1,RECRUITING,40.0,"Memgen, Inc.",BIOLOGICAL: MEM-288 Intratumoral Injection|BIOLOGICAL: Nivolumab|DRUG: Docetaxel,2022,2031
NCT Number: NCT04803305. Study Title: Study to Compare the Effects of Repeated Doses of an Investigational New Drug and a Placebo on Appetite in Advanced Cancer and Anorexia. Sponsor: Pfizer. Condition or Disease: Non-small Cell Lung Cancer|Pancreatic Cancer|Colorectal Cancer|Prostate Cancer|Breast Cancer|Ovarian Cancer|Loss of Appetite|Fatigue|Cachexia|Anorexia. Intervention or Drug or Treatment: DRUG: PF-06946860|DRUG: Placebo for PF-06946860. Phase: PHASE1. Study Status: COMPLETED. Enrollment: 18.0. Summary: Study to compare the effects of the investigational new drug (PF-06946860) and a placebo on appetite and to find out how participants with advanced cancer and anorexia feel after receiving repeated subcutaneous (SC-injected under the skin) doses.. ,NCT04803305,Non-small Cell Lung Cancer|Pancreatic Cancer|Colorectal Cancer|Prostate Cancer|Breast Cancer|Ovarian Cancer|Loss of Appetite|Fatigue|Cachexia|Anorexia,PHASE1,COMPLETED,18.0,Pfizer,DRUG: PF-06946860|DRUG: Placebo for PF-06946860,2021,2022
"NCT Number: NCT03535740. Study Title: A Study of Brigatinib in Participants With Anaplastic Lymphoma Kinase-Positive (ALK+), Advanced Non-Small-Cell Lung Cancer (NSCLC) Progressed on Alectinib or Ceritinib. Sponsor: Ariad Pharmaceuticals. Condition or Disease: ALK-positive Advanced NSCLC. Intervention or Drug or Treatment: DRUG: Brigatinib. Phase: PHASE2. Study Status: COMPLETED. Enrollment: 103.0. Summary: The primary purpose of this study is to determine the efficacy of brigatinib by confirmed objective response rate (ORR) by response evaluation criteria in solid tumors (Response Evaluation Criteria in Solid Tumors \[RECIST\]), in participants with ALK+ locally advanced or metastatic NSCLC whose disease has progressed on therapy with alectinib or ceritinib.. ",NCT03535740,ALK-positive Advanced NSCLC,PHASE2,COMPLETED,103.0,Ariad Pharmaceuticals,DRUG: Brigatinib,2019,2024
"NCT Number: NCT06800586. Study Title: Tumors and Respiratory System Diseases Due to Air Pollution: New Biomarkers of Exposure and Effects. Sponsor: IRCCS Azienda Ospedaliero-Universitaria di Bologna. Condition or Disease: COPD|Lung Cancer (NSCLC)|Leukemia. Intervention or Drug or Treatment: . Phase: . Study Status: RECRUITING. Enrollment: 300.0. Summary: This study aims to examine the exposure to atmospheric pollutants in a group of non-smoking patients suffering from lung cancer, chronic obstructive pulmonary disease (COPD), and leukemia. The exposure to atmospheric pollutants will be assessed simultaneously in a group of healthy volunteers. The ultimate goal of the study is to enhance the understanding of the mechanisms by which atmospheric pollutants act, in order to develop new tools that can help halt or at least delay the development of diseases associated with pollution.. ",NCT06800586,COPD|Lung Cancer (NSCLC)|Leukemia,,RECRUITING,300.0,IRCCS Azienda Ospedaliero-Universitaria di Bologna,,2025,2026
"NCT Number: NCT06629714. Study Title: Impact of Pretreatment Emotional Distress on Survival and the Predictive Role of Peripheral Biomarkers in Immunotherapy Response Among Gastroesophageal and Lung Cancer Patients. Sponsor: Anhui Medical University. Condition or Disease: Non Small Cell Lung Cancer|Immune Checkpoint Inhibitors|Inflammation|Cancer, Treatment-Related|Emotional Distress|Gastroesophageal Cancer (GC)|Biomarkers / Blood|Progression-free Survival, PFS. Intervention or Drug or Treatment: OTHER: Exposure: emotional distress status. Phase: . Study Status: COMPLETED. Enrollment: 196.0. Summary: This is the prospective, observational cohort study to explore the impact of pretreatment emotional distress on survival and the predictive role of peripheral blood metabolic and inflammatory markers in immunotherapy response among treatment-naïve, advanced and inoperable Gastroesophageal Cancer (GEC) and non-small-cell lung cancer (NSCLC).. ",NCT06629714,"Non Small Cell Lung Cancer|Immune Checkpoint Inhibitors|Inflammation|Cancer, Treatment-Related|Emotional Distress|Gastroesophageal Cancer (GC)|Biomarkers / Blood|Progression-free Survival, PFS",,COMPLETED,196.0,Anhui Medical University,OTHER: Exposure: emotional distress status,2020,2025
NCT Number: NCT06686602. Study Title: A Study Assessing Risk Factors for Oral Mucositis/Stomatitis and Ocular Surface Events in NSCLC and Breast Cancer. Sponsor: Daiichi Sankyo. Condition or Disease: Advanced/Metastatic NSCLC|Advanced/Metastatic HER2-negative Breast Cancer. Intervention or Drug or Treatment: OTHER: No drug. Phase: . Study Status: COMPLETED. Enrollment: 13759.0. Summary: This study will identify risk factors for oral mucositis/stomatitis and ocular surface events (OSE) in patients with advanced/metastatic non-small cell lung cancer (NSCLC) and advanced/metastatic human epidermal growth factor receptor 2 (HER2)-negative breast cancer.. ,NCT06686602,Advanced/Metastatic NSCLC|Advanced/Metastatic HER2-negative Breast Cancer,,COMPLETED,13759.0,Daiichi Sankyo,OTHER: No drug,2024,2025
"NCT Number: NCT03234712. Study Title: A Study Evaluating the Safety, Pharmacokinetics, and Anti-tumor Activity of ABBV-321 in Subjects With Advanced Solid Tumors Associated With Overexpression of the Epidermal Growth Factor Receptor (EGFR). Sponsor: AbbVie. Condition or Disease: Advanced Solid Tumors Cancer. Intervention or Drug or Treatment: DRUG: ABBV-321. Phase: PHASE1. Study Status: COMPLETED. Enrollment: 62.0. Summary: This is an open-label, Phase 1, dose-escalation study to determine the maximum tolerated dose (MTD) and the recommended phase two dose (RPTD), and to assess the safety, preliminary efficacy, and pharmacokinetic (PK) profile of ABBV-321 for participants with advanced solid tumors likely to overexpress the epidermal growth factor receptor (EGFR). The study will consist of 2 phases: Dose Escalation Phase and Expansion Phase.. ",NCT03234712,Advanced Solid Tumors Cancer,PHASE1,COMPLETED,62.0,AbbVie,DRUG: ABBV-321,2017,2021
NCT Number: NCT05914116. Study Title: A Phase 1/2a Study of DB-1311/BNT324 in Advanced/Metastatic Solid Tumors. Sponsor: DualityBio Inc.. Condition or Disease: Advanced Solid Tumors. Intervention or Drug or Treatment: DRUG: DB-1311|DRUG: Lopinavir and Ritonavir Tablets|DRUG: itraconazole|DRUG: Enzalutamide|DRUG: Abiraterone. Phase: PHASE1|PHASE2. Study Status: RECRUITING. Enrollment: 862.0. Summary: This is a dose-escalation and dose-expansion Phase 1/2a trial to evaluate the safety and tolerability of DB-1311/BNT324 in subjects with advanced solid tumors.. ,NCT05914116,Advanced Solid Tumors,PHASE1|PHASE2,RECRUITING,862.0,DualityBio Inc.,DRUG: DB-1311|DRUG: Lopinavir and Ritonavir Tablets|DRUG: itraconazole|DRUG: Enzalutamide|DRUG: Abiraterone,2023,2028
"NCT Number: NCT03718117. Study Title: Descriptive Observational Study ALK-2016-CPHG. Sponsor: Pfizer. Condition or Disease: NSCLC|Crizotinib|ALK Gene Rearrangement or ROS1 Gene Rearrangement. Intervention or Drug or Treatment: . Phase: . Study Status: COMPLETED. Enrollment: 73.0. Summary: Descriptive Observational Study.
Characteristics Of ALK-positive and ROS1-positive Adults Patients Non-Small Cell Lung Cancer (NSCLC) Treated With Crizotinib Within General Hospitals. ",NCT03718117,NSCLC|Crizotinib|ALK Gene Rearrangement or ROS1 Gene Rearrangement,,COMPLETED,73.0,Pfizer,,2017,2020
"NCT Number: NCT07281209. Study Title: A Study of SHR-A1811 Combined With Adebelimumab as Neoadjuvant Therapy for Resectable HER2-Altered Non-Small Cell Lung Cancer. Sponsor: Shanghai Chest Hospital. Condition or Disease: NSCLC. Intervention or Drug or Treatment: DRUG: SHR-A1811 + Adebrelimab. Phase: PHASE2. Study Status: NOT_YET_RECRUITING. Enrollment: 40.0. Summary: This is a prospective, single-arm, multi-center Phase II clinical trial designed to evaluate the efficacy and safety of neoadjuvant therapy with SHR-A1811 in combination with Adebelimumab in patients with resectable, early-stage non-small cell lung cancer (NSCLC) harboring HER2 alterations.. ",NCT07281209,NSCLC,PHASE2,NOT_YET_RECRUITING,40.0,Shanghai Chest Hospital,DRUG: SHR-A1811 + Adebrelimab,2025,2029
NCT Number: NCT07138755. Study Title: The Efficacy and Safety of the Combination of PD-1 With Chemotherapy and Adaptive Radiotherapy Strategy in the Treatment of Stage III Non-small Cell Lung Cancer Patients. Sponsor: The Third Xiangya Hospital of Central South University. Condition or Disease: NSCLC|Sintilimab|Adaptive Radiotherapy. Intervention or Drug or Treatment: DRUG: Experimental. Phase: PHASE2. Study Status: NOT_YET_RECRUITING. Enrollment: 35.0. Summary: To evaluate the Efficacy and Safety of the Combination of Sintilimab With Platinum-doublet Chemotherapy and Adaptive Radiotherapy Strategy in the Treatment of Stage III Non-small Cell Lung Cancer Patients. ,NCT07138755,NSCLC|Sintilimab|Adaptive Radiotherapy,PHASE2,NOT_YET_RECRUITING,35.0,The Third Xiangya Hospital of Central South University,DRUG: Experimental,2025,2030
"NCT Number: NCT02698176. Study Title: A Dose Exploration Study With Birabresib (MK-8628) in Participants With Selected Advanced Solid Tumors (MK-8628-006). Sponsor: Merck Sharp & Dohme LLC. Condition or Disease: NUT Midline Carcinoma (NMC)|Triple Negative Breast Cancer (TNBC)|Non-small Cell Lung Cancer (NSCLC)|Castration-resistant Prostate Cancer (CRPC). Intervention or Drug or Treatment: DRUG: Birabresib. Phase: PHASE1. Study Status: TERMINATED. Enrollment: 13.0. Summary: This is a study to determine the recommended dose of birabresib (MK-8628)(formerly known as OTX015) for further studies in participants with advanced nuclear protein in testis (NUT) midline carcinoma (NMC), triple negative breast cancer (TNBC), non-small cell lung cancer (NSCLC), or castration-resistant prostate cancer (CRPC). This is a two-part parallel study: Part A will establish the recommended dose by evaluating dose limiting toxicity (DLT), safety, discontinuation, and early efficacy and Part B will enroll participants with NMC only and will evaluate safety and efficacy in this population.. ",NCT02698176,NUT Midline Carcinoma (NMC)|Triple Negative Breast Cancer (TNBC)|Non-small Cell Lung Cancer (NSCLC)|Castration-resistant Prostate Cancer (CRPC),PHASE1,TERMINATED,13.0,Merck Sharp & Dohme LLC,DRUG: Birabresib,2016,2017
"NCT Number: NCT04644068. Study Title: Study of AZD5305 as Monotherapy and in Combination With Anti-cancer Agents in Patients With Advanced Solid Malignancies. Sponsor: AstraZeneca. Condition or Disease: Ovarian Cancer|Breast Cancer|Pancreatic Cancer|Prostate Cancer|Additional Indications Below for Module 4 and 5|Non-small Cell Lung Cancer|Colorectal Cancer|Bladder Cancer|Gastric Cancer|Biliary Cancer|Cervical Cancer|Endometrial Cancer|Small Cell Lung Cancer Only in Module 5. Intervention or Drug or Treatment: DRUG: AZD5305|DRUG: Paclitaxel|DRUG: Carboplatin|DRUG: T- Dxd|DRUG: Dato-DXd|DRUG: Camizestrant. Phase: PHASE1|PHASE2. Study Status: ACTIVE_NOT_RECRUITING. Enrollment: 702.0. Summary: This research is designed to determine if experimental treatment with PARP inhibitor, AZD5305, alone, or in combination with anti-cancer agents is safe, tolerable, and has anti-cancer activity in patients with advanced solid tumors.. ",NCT04644068,Ovarian Cancer|Breast Cancer|Pancreatic Cancer|Prostate Cancer|Additional Indications Below for Module 4 and 5|Non-small Cell Lung Cancer|Colorectal Cancer|Bladder Cancer|Gastric Cancer|Biliary Cancer|Cervical Cancer|Endometrial Cancer|Small Cell Lung Cancer Only in Module 5,PHASE1|PHASE2,ACTIVE_NOT_RECRUITING,702.0,AstraZeneca,DRUG: AZD5305|DRUG: Paclitaxel|DRUG: Carboplatin|DRUG: T- Dxd|DRUG: Dato-DXd|DRUG: Camizestrant,2020,2027
